dataset,model,split,rmse,nasa_score
FD001,lstm,test,15.352472255244942,432.2165118833935
FD001,xgboost,cv,15.783350988067264,
FD001,xgboost,test,18.566167792661563,585.3496472466595
FD001,xgboost_baseline_uncapped,test,29.827934764934827,49648.15632671023
FD002,lstm,test,27.86311463992182,9140.368418238357
FD002,xgboost,cv,15.83489911592544,
FD002,xgboost,test,28.73014957296222,13931.715351679217
FD002,xgboost_baseline_uncapped,test,30.47608328669761,38401.77118488694
FD003,lstm,test,12.96372719709526,283.322492001909
FD003,xgboost,cv,13.839781243800529,
FD003,xgboost,test,16.860698623882598,507.6929249597831
FD003,xgboost_baseline_uncapped,test,39.35852073172575,572663689.6977024
FD004,lstm,test,26.532431705333504,5079.706092246892
FD004,xgboost,cv,15.430031639697622,
FD004,xgboost,test,28.81902740955035,6418.541611744399
FD004,xgboost_baseline_uncapped,test,40.0449891005266,3590202.996133352
